PROGRES PENDATAAN - USAHA KELUARGA,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.00 | Dicetak: 20 Jul 2026, 20.43",,,,,,,
,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),JUMLAH USAHA KELUARGA MENURUT STATUS KEBERADAAN USAHA,,,,,Jumlah Usaha dalam Keluarga
,,Ditemukan,Tutup,Ganda,Tidak Ditemukan,Baru,
-1,-2,-3,-4,-5,-6,-7,-8
"6,10408E+15",RT 001 RW 22 DUSUN RADEN WIJAYA,0,0,0,0,0,0
61040800020068,RT 002 RW 22 DUSUN RADEN WIJAYA,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 22 DUSUN RADEN WIJAYA,0,0,0,0,0,0
61040800020069,RT 006 RW 12 DUSUN PANGERAN ADIPATI,0,4,0,0,3,3
"6,10408E+15",RT 006 RW 12 DUSUN PANGERAN ADIPATI,0,4,0,0,3,3
61040800020070,RT 006 RW 10 DUSUN RADEN TAUFIK,0,1,0,0,11,11
"6,10408E+15",RT 006 RW 10 DUSUN RADEN TAUFIK,0,1,0,0,11,11
6104080003,WAJOK HILIR,375,358,3,145,141,516
61040800030001,RT 001 RW 01 DUSUN JERUK,4,5,0,0,6,10
"6,10408E+15",RT 001 RW 01 DUSUN JERUK,4,5,0,0,6,10
61040800030002,RT 002 RW 01 DUSUN JERUK,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 01 DUSUN JERUK,0,0,0,0,0,0
61040800030003,RT 003 RW 01 DUSUN JERUK,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 01 DUSUN JERUK,0,0,0,0,0,0
61040800030004,RT 004 RW 01 DUSUN JERUK,0,0,0,0,6,6
"6,10408E+15",RT 004 RW 01 DUSUN JERUK,0,0,0,0,6,6
61040800030005,RT 005 RW 01 DUSUN JERUK,7,21,0,1,4,11
"6,10408E+15",RT 005 RW 01 DUSUN JERUK,7,21,0,1,4,11
61040800030006,RT 001 RW 13 DUSUN JERUK,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 13 DUSUN JERUK,0,0,0,0,0,0
61040800030007,RT 002 RW 13 DUSUN JERUK,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 13 DUSUN JERUK,0,0,0,0,0,0
61040800030008,RT 003 RW 13 DUSUN JERUK,5,2,0,1,4,9
"6,10408E+15",RT 003 RW 13 DUSUN JERUK,5,2,0,1,4,9
61040800030009,RT 004 RW 13 DUSUN JERUK,0,0,0,0,0,0
"6,10408E+15",RT 004 RW 13 DUSUN JERUK,0,0,0,0,0,0
61040800030010,RT 001 RW 06 DUSUN NANAS,27,59,0,0,7,34
"6,10408E+15",RT 001 RW 06 DUSUN NANAS,27,59,0,0,7,34
61040800030011,RT 002 RW 06 DUSUN NANAS,8,15,0,0,1,9
"6,10408E+15",RT 002 RW 06 DUSUN NANAS,8,15,0,0,1,9
61040800030012,RT 001 RW 11 DUSUN NANAS,2,0,0,6,0,2
"6,10408E+15",RT 001 RW 11 DUSUN NANAS,2,0,0,6,0,2
61040800030013,RT 002 RW 11 DUSUN NANAS,22,16,0,23,0,22
"6,10408E+15",RT 002 RW 11 DUSUN NANAS,22,16,0,23,0,22
61040800030014,RT 001 RW 02 DUSUN PADI,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 02 DUSUN PADI,0,0,0,0,0,0
61040800030015,RT 002 RW 02 DUSUN PADI,2,3,0,2,3,5
"6,10408E+15",RT 002 RW 02 DUSUN PADI,2,3,0,2,3,5
61040800030016,RT 001 RW 12 DUSUN PADI,16,42,0,44,8,24
"6,10408E+15",RT 001 RW 12 DUSUN PADI,16,42,0,44,8,24
61040800030017,RT 002 RW 12 DUSUN PADI,8,21,0,5,4,12
"6,10408E+15",RT 002 RW 12 DUSUN PADI,8,21,0,5,4,12
61040800030018,RT 001 RW 05 DUSUN KOPI,1,0,0,0,0,1
"6,10408E+15",RT 001 RW 05 DUSUN KOPI,1,0,0,0,0,1
61040800030019,RT 002 RW 05 DUSUN KOPI,23,18,0,8,0,23
"6,10408E+15",RT 002 RW 05 DUSUN KOPI,23,18,0,8,0,23
61040800030020,RT 003 RW 05 DUSUN KOPI,6,6,0,23,3,9
"6,10408E+15",RT 003 RW 05 DUSUN KOPI,6,6,0,23,3,9
61040800030021,RT 004 RW 05 DUSUN KOPI,15,13,0,0,3,18
"6,10408E+15",RT 004 RW 05 DUSUN KOPI,15,13,0,0,3,18
61040800030022,RT 005 RW 05 DUSUN KOPI,14,11,0,0,6,20
"6,10408E+15",RT 005 RW 05 DUSUN KOPI,14,11,0,0,6,20
61040800030023,RT 006 RW 05 DUSUN KOPI,3,28,1,0,0,3
"6,10408E+15",RT 006 RW 05 DUSUN KOPI,3,28,1,0,0,3
61040800030024,RT 001 RW 07 DUSUN KELAPA,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 07 DUSUN KELAPA,0,0,0,0,0,0
61040800030025,RT 002 RW 07 DUSUN KELAPA,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 07 DUSUN KELAPA,0,0,0,0,0,0
61040800030026,RT 001 RW 08 DUSUN KELAPA,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 08 DUSUN KELAPA,0,0,0,0,0,0
61040800030027,RT 002 RW 08 DUSUN KELAPA,13,11,1,11,4,17
"6,10408E+15",RT 002 RW 08 DUSUN KELAPA,13,11,1,11,4,17
61040800030028,RT 001 RW 03 DUSUN COKLAT,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 03 DUSUN COKLAT,0,0,0,0,0,0
61040800030029,RT 002 RW 03 DUSUN COKLAT,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 03 DUSUN COKLAT,0,0,0,0,0,0
61040800030030,RT 003 RW 03 DUSUN COKLAT,2,4,0,0,5,7
"6,10408E+15",RT 003 RW 03 DUSUN COKLAT,2,4,0,0,5,7
61040800030031,RT 001 RW 04 DUSUN COKLAT,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 04 DUSUN COKLAT,0,0,0,0,0,0
61040800030032,RT 002 RW 04 DUSUN COKLAT,22,5,0,1,1,23
"6,10408E+15",RT 002 RW 04 DUSUN COKLAT,22,5,0,1,1,23
61040800030033,RT 003 RW 04 DUSUN COKLAT,13,0,0,0,9,22
