PROGRES PENDATAAN - USAHA/PERUSAHAAN,,,,,,,,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.00 | Dicetak: 20 Jul 2026, 20.43",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),Jumlah Prelist Usaha,JUMLAH USAHA BKU MENURUT STATUS KEBERADAAN USAHA,,,,,,,,,,Jumlah Usaha BKU,Persentase Usaha BKU
,,,Ditemukan,Persentase Ditemukan,Tutup,Persentase Tutup,Ganda,Persentase Ganda,Tidak Ditemukan,Persentase Tidak Ditemukan,Baru,Persentase Baru,,
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15
"6,10408E+15",RT 005 RW 012 DUSUN PANGERAN ADIPATI,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020020,RT 001 RW 003 DUSUN SULTAN ABDURRAHMAN,3,0,0,0,0,0,0,2,"66,67",1,"33,33",1,"33,33"
"6,10408E+15",RT 001 RW 003 DUSUN SULTAN ABDURRAHMAN,3,0,0,0,0,0,0,2,"66,67",1,"33,33",1,"33,33"
61040800020021,RT 002 RW 003 DUSUN SULTAN ABDURRAHMAN,2,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 003 DUSUN SULTAN ABDURRAHMAN,2,0,0,0,0,0,0,0,0,0,0,0,0
61040800020022,RT 003 RW 003 DUSUN SULTAN ABDURRAHMAN,5,0,0,0,0,0,0,3,60,1,20,1,20
"6,10408E+15",RT 003 RW 003 DUSUN SULTAN ABDURRAHMAN,5,0,0,0,0,0,0,3,60,1,20,1,20
61040800020023,RT 001 RW 013 DUSUN SULTAN ABDURRAHMAN,3,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 013 DUSUN SULTAN ABDURRAHMAN,3,0,0,0,0,0,0,0,0,0,0,0,0
61040800020024,RT 002 RW 013 DUSUN SULTAN ABDURRAHMAN,2,0,0,0,0,0,0,2,100,0,0,0,0
"6,10408E+15",RT 002 RW 013 DUSUN SULTAN ABDURRAHMAN,2,0,0,0,0,0,0,2,100,0,0,0,0
61040800020025,RT 003 RW 013 DUSUN SULTAN ABDURRAHMAN,1,0,0,0,0,0,0,1,100,2,200,2,200
"6,10408E+15",RT 003 RW 013 DUSUN SULTAN ABDURRAHMAN,1,0,0,0,0,0,0,1,100,2,200,2,200
61040800020026,RT 004 RW 013 DUSUN SULTAN ABDURRAHMAN,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 004 RW 013 DUSUN SULTAN ABDURRAHMAN,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020027,RT 005 RW 013 DUSUN SULTAN ABDURRAHMAN,0,0,0,0,0,0,0,0,0,1,0,1,0
"6,10408E+15",RT 005 RW 013 DUSUN SULTAN ABDURRAHMAN,0,0,0,0,0,0,0,0,0,1,0,1,0
61040800020028,RT 001 RW 005 DUSUN PANGSUMA,40,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 005 DUSUN PANGSUMA,40,0,0,0,0,0,0,0,0,0,0,0,0
61040800020029,RT 002 RW 005 DUSUN PANGSUMA,10,2,20,0,0,0,0,1,10,9,90,11,110
"6,10408E+15",RT 002 RW 005 DUSUN PANGSUMA,10,2,20,0,0,0,0,1,10,9,90,11,110
61040800020030,RT 003 RW 005 DUSUN PANGSUMA,5,0,0,0,0,0,0,3,60,1,20,1,20
"6,10408E+15",RT 003 RW 005 DUSUN PANGSUMA,5,0,0,0,0,0,0,3,60,1,20,1,20
61040800020031,RT 004 RW 005 DUSUN PANGSUMA,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 004 RW 005 DUSUN PANGSUMA,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020032,RT 005 RW 005 DUSUN PANGSUMA,2,0,0,0,0,0,0,2,100,1,50,1,50
"6,10408E+15",RT 005 RW 005 DUSUN PANGSUMA,2,0,0,0,0,0,0,2,100,1,50,1,50
61040800020033,RT 001 RW 007 DUSUN PANGSUMA,11,1,"9,09",0,0,0,0,1,"9,09",1,"9,09",2,"18,18"
"6,10408E+15",RT 001 RW 007 DUSUN PANGSUMA,11,1,"9,09",0,0,0,0,1,"9,09",1,"9,09",2,"18,18"
61040800020034,RT 002 RW 007 DUSUN PANGSUMA,11,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 007 DUSUN PANGSUMA,11,0,0,0,0,0,0,0,0,0,0,0,0
61040800020035,RT 003 RW 007 DUSUN PANGSUMA,10,0,0,0,0,0,0,0,0,0,0,0,0
