PROGRES PEMUTAKHIRAN KELUARGA - KELUARGA,,,,,,,,,,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.16 | Dicetak: 20 Jul 2026, 20.23",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),Prelist Awal,Ditemukan,Persentase Ditemukan,Keluarga Baru,Meninggal,Persentase Meninggal,Tidak Eligible,Persentase Tidak Eligible,Tidak Dapat Ditemui Sampai Akhir Pendataan,Persentase Tidak Dapat Ditemui Sampai Akhir Pendataan,Tidak Ditemukan,Persentase Tidak Ditemukan,Keluarga Khusus,Total Hasil Pendataan ((4) + (5)),Persentase Total Hasil Pendataan ((4) + (5))
61040800020035,RT 003 RW 007 DUSUN PANGSUMA,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002003500,RT 003 RW 007 DUSUN PANGSUMA,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020036,RT 004 RW 007 DUSUN PANGSUMA,65,41,"63,08",5,1,"1,54",0,0,0,0,20,"30,77",0,46,"70,77"
6104080002003600,RT 004 RW 007 DUSUN PANGSUMA,65,41,"63,08",5,1,"1,54",0,0,0,0,20,"30,77",0,46,"70,77"
61040800020037,RT 005 RW 007 DUSUN PANGSUMA,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002003700,RT 005 RW 007 DUSUN PANGSUMA,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020038,RT 001 RW 008 DUSUN ALIANYANG,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002003800,RT 001 RW 008 DUSUN ALIANYANG,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020039,RT 002 RW 008 DUSUN ALIANYANG,66,24,"36,36",1,0,0,0,0,0,0,6,"9,09",0,25,"37,88"
6104080002003900,RT 002 RW 008 DUSUN ALIANYANG,66,24,"36,36",1,0,0,0,0,0,0,6,"9,09",0,25,"37,88"
61040800020040,RT 003 RW 008 DUSUN ALIANYANG,64,54,"84,38",10,1,"1,56",0,0,0,0,9,"14,06",0,64,100
6104080002004000,RT 003 RW 008 DUSUN ALIANYANG,64,54,"84,38",10,1,"1,56",0,0,0,0,9,"14,06",0,64,100
61040800020041,RT 001 RW 009 DUSUN ALIANYANG,93,44,"47,31",6,1,"1,08",0,0,0,0,13,"13,98",0,50,"53,76"
6104080002004100,RT 001 RW 009 DUSUN ALIANYANG,93,44,"47,31",6,1,"1,08",0,0,0,0,13,"13,98",0,50,"53,76"
61040800020042,RT 002 RW 009 DUSUN ALIANYANG,82,61,"74,39",14,2,"2,44",0,0,0,0,19,"23,17",0,75,"91,46"
6104080002004200,RT 002 RW 009 DUSUN ALIANYANG,82,61,"74,39",14,2,"2,44",0,0,0,0,19,"23,17",0,75,"91,46"
61040800020043,RT 003 RW 009 DUSUN ALIANYANG,76,42,"55,26",7,4,"5,26",0,0,0,0,14,"18,42",0,49,"64,47"
6104080002004300,RT 003 RW 009 DUSUN ALIANYANG,76,42,"55,26",7,4,"5,26",0,0,0,0,14,"18,42",0,49,"64,47"
61040800020044,RT 001 RW 017 DUSUN SULTAN MUHAMMAD,53,36,"67,92",2,1,"1,89",0,0,0,0,10,"18,87",0,38,"71,7"
6104080002004400,RT 001 RW 017 DUSUN SULTAN MUHAMMAD,53,36,"67,92",2,1,"1,89",0,0,0,0,10,"18,87",0,38,"71,7"
61040800020045,RT 002 RW 017 DUSUN SULTAN MUHAMMAD,48,28,"58,33",1,1,"2,08",0,0,0,0,3,"6,25",0,29,"60,42"
6104080002004500,RT 002 RW 017 DUSUN SULTAN MUHAMMAD,48,28,"58,33",1,1,"2,08",0,0,0,0,3,"6,25",0,29,"60,42"
61040800020046,RT 001 RW 018 DUSUN SULTAN MUHAMMAD,52,9,"17,31",2,0,0,0,0,0,0,0,0,0,11,"21,15"
6104080002004600,RT 001 RW 018 DUSUN SULTAN MUHAMMAD,52,9,"17,31",2,0,0,0,0,0,0,0,0,0,11,"21,15"
61040800020047,RT 002 RW 018 DUSUN SULTAN MUHAMMAD,60,49,"81,67",3,0,0,0,0,0,0,9,15,0,52,"86,67"
6104080002004700,RT 002 RW 018 DUSUN SULTAN MUHAMMAD,60,49,"81,67",3,0,0,0,0,0,0,9,15,0,52,"86,67"
61040800020048,RT 001 RW 010 DUSUN RADEN TAUFIK,84,49,"58,33",5,2,"2,38",0,0,0,0,10,"11,9",0,54,"64,29"
6104080002004800,RT 001 RW 010 DUSUN RADEN TAUFIK,84,49,"58,33",5,2,"2,38",0,0,0,0,10,"11,9",0,54,"64,29"
61040800020049,RT 002 RW 010 DUSUN RADEN TAUFIK,111,26,"23,42",4,0,0,0,0,0,0,24,"21,62",0,30,"27,03"
