Tabel,Kolom,DataKey,Urutan,Blok,Nomor Rincian,Label,Tipe,Keterangan
tgr_fd68e454.se2026_nested,digital_value,digital,188,SE2026 - L BLOK II,16,"c. Apakah usaha/perusahaan ini memanfaatkan teknologi digital Aritifical Intelligence (AI), Internet of Things (IoT), big data, printer 3D, blockchain, atau cloud computing ?",Radio Group,
tgr_fd68e454.se2026_nested,produksi_lingkungan_label,produksi_lingkungan,189,SE2026 - L BLOK II,17,"a. Apakah usaha/perusahaan ini memproduksi barang/jasa yang ramah lingkungan ? Contoh: Produk efisiensi energi (lampu atau mesin hemat listrik); Energi terbarukan (panel surya, turbin angin, biogas); Kendaraan ramah lingkungan (kendaraan listrik/ hybrid); Produk berbahan daur ulang (kertas/plastik daur ulang, kemasan ramah lingkungan); Jasa pengelolaan dan pembersihan limbah dan sampah (pengolahan sampah/ air limbah, daur ulang)",Radio Group,
tgr_fd68e454.se2026_nested,produksi_lingkungan_value,produksi_lingkungan,189,SE2026 - L BLOK II,17,"a. Apakah usaha/perusahaan ini memproduksi barang/jasa yang ramah lingkungan ? Contoh: Produk efisiensi energi (lampu atau mesin hemat listrik); Energi terbarukan (panel surya, turbin angin, biogas); Kendaraan ramah lingkungan (kendaraan listrik/ hybrid); Produk berbahan daur ulang (kertas/plastik daur ulang, kemasan ramah lingkungan); Jasa pengelolaan dan pembersihan limbah dan sampah (pengolahan sampah/ air limbah, daur ulang)",Radio Group,
tgr_fd68e454.se2026_nested,perlindungan_lingkungan_label,perlindungan_lingkungan,190,SE2026 - L BLOK II,17,"b. Apakah usaha/perusahaan ini menggunakan input untuk tujuan perlindungan lingkungan dan/atau pembelian barang dan jasa yang ramah lingkungan? Contoh: Pengeluaran untuk pengelolaan dan pembersihan limbah dan sampah, pengendalian polusi udara, perbaikan tanah/ air tanah, pengurangan kebisingan, pelestarian alam/keanekaragaman hayati, audit/ penilaian lingkungan",Radio Group,
tgr_fd68e454.se2026_nested,perlindungan_lingkungan_value,perlindungan_lingkungan,190,SE2026 - L BLOK II,17,"b. Apakah usaha/perusahaan ini menggunakan input untuk tujuan perlindungan lingkungan dan/atau pembelian barang dan jasa yang ramah lingkungan? Contoh: Pengeluaran untuk pengelolaan dan pembersihan limbah dan sampah, pengendalian polusi udara, perbaikan tanah/ air tanah, pengurangan kebisingan, pelestarian alam/keanekaragaman hayati, audit/ penilaian lingkungan",Radio Group,
tgr_fd68e454.se2026_nested,produk_seni_label,produk_seni,191,SE2026 - L BLOK II,18,"Apakah usaha/perusahaan ini menggunakan produk karya seni, sastra, desain, teknologi atau warisan budaya , baik diproduksi sendiri maupun oleh pihak lain? Contoh produk karya seni: lukisan, patung, kerajinan, musik, tari, foto, film, ilustrasi, animasi, board game, dll. Contoh produk sastra: puisi, cerpen, novel, naskah drama, dll. Contoh produk desain: arsitektur, desain produk, desain interior, desain komunikasi visual, desain fesyen, dll. Contoh produk teknologi: perangkat lunak (software), aplikasi digital, aplikasi gim, perangkat elektronik, dll. Contoh produk warisan budaya: makanan tradisional, peralatan tradisional, obat tradisional, dll.",Radio Group,
tgr_fd68e454.se2026_nested,produk_seni_value,produk_seni,191,SE2026 - L BLOK II,18,"Apakah usaha/perusahaan ini menggunakan produk karya seni, sastra, desain, teknologi atau warisan budaya , baik diproduksi sendiri maupun oleh pihak lain? Contoh produk karya seni: lukisan, patung, kerajinan, musik, tari, foto, film, ilustrasi, animasi, board game, dll. Contoh produk sastra: puisi, cerpen, novel, naskah drama, dll. Contoh produk desain: arsitektur, desain produk, desain interior, desain komunikasi visual, desain fesyen, dll. Contoh produk teknologi: perangkat lunak (software), aplikasi digital, aplikasi gim, perangkat elektronik, dll. Contoh produk warisan budaya: makanan tradisional, peralatan tradisional, obat tradisional, dll.",Radio Group,
tgr_fd68e454.se2026_nested,halal_label,halal,192,SE2026 - L BLOK II,19,a. Apakah usaha/perusahaan ini menghasilkan produk bersertifikat halal? Rincian 19 hanya ditanyakan kepada kategori usaha/perusahaan khusus berdasarkan BPJPH.,Radio Group,
tgr_fd68e454.se2026_nested,halal_value,halal,192,SE2026 - L BLOK II,19,a. Apakah usaha/perusahaan ini menghasilkan produk bersertifikat halal? Rincian 19 hanya ditanyakan kepada kategori usaha/perusahaan khusus berdasarkan BPJPH.,Radio Group,
tgr_fd68e454.se2026_nested,sudah_halal,sudah_halal,193,SE2026 - L BLOK II,19,b. Berapa jumlah varian produk yang sudah bersertifikat halal BPJPH?,Number,
tgr_fd68e454.se2026_nested,belum_halal,belum_halal,194,SE2026 - L BLOK II,19,c. Berapa jumlah varian produk yang belum bersertifikat halal BPJPH?,Number,
tgr_fd68e454.se2026_nested,izin_edar_label,izin_edar,195,SE2026 - L BLOK II,20,a. Apakah usaha/perusahaan ini memiliki izin edar? Rincian 20 hanya ditanyakan kepada kategori usaha/perusahaan khusus berdasarkan BPOM.,Radio Group,
tgr_fd68e454.se2026_nested,izin_edar_value,izin_edar,195,SE2026 - L BLOK II,20,a. Apakah usaha/perusahaan ini memiliki izin edar? Rincian 20 hanya ditanyakan kepada kategori usaha/perusahaan khusus berdasarkan BPOM.,Radio Group,
tgr_fd68e454.se2026_nested,sudah_bpom,sudah_bpom,196,SE2026 - L BLOK II,20,b. Berapa jumlah varian produk yang sudah memiliki izin edar BPOM?,Number,
tgr_fd68e454.se2026_nested,belum_bpom,belum_bpom,197,SE2026 - L BLOK II,20,c. Berapa jumlah varian produk yang belum memiliki izin edar BPOM?,Number,
tgr_fd68e454.se2026_nested,mitra_kdkmp_label,mitra_kdkmp,198,SE2026 - L BLOK II,21,Apakah usaha/perusahaan ini bermitra dengan Koperasi Desa/Kelurahan Merah Putih (KDKMP)?,Radio Group,
tgr_fd68e454.se2026_nested,mitra_kdkmp_value,mitra_kdkmp,198,SE2026 - L BLOK II,21,Apakah usaha/perusahaan ini bermitra dengan Koperasi Desa/Kelurahan Merah Putih (KDKMP)?,Radio Group,
tgr_fd68e454.se2026_nested,peran_mbg_label,peran_mbg,199,SE2026 - L BLOK II,22,Apakah usaha/perusahaan ini terlibat dalam program Makan Bergizi Gratis (MBG)?,Radio Group,
tgr_fd68e454.se2026_nested,peran_mbg_value,peran_mbg,199,SE2026 - L BLOK II,22,Apakah usaha/perusahaan ini terlibat dalam program Makan Bergizi Gratis (MBG)?,Radio Group,
tgr_fd68e454.se2026_nested,barang_non_pddk_label,barang_non_pddk,200,SE2026 - L BLOK II,23,a. Penjualan dan/atau pembelian barang,Radio Group,
tgr_fd68e454.se2026_nested,barang_non_pddk_value,barang_non_pddk,200,SE2026 - L BLOK II,23,a. Penjualan dan/atau pembelian barang,Radio Group,
tgr_fd68e454.se2026_nested,jasa_non_pddk_label,jasa_non_pddk,201,SE2026 - L BLOK II,23,b. Penjualan jasa,Radio Group,
tgr_fd68e454.se2026_nested,jasa_non_pddk_value,jasa_non_pddk,201,SE2026 - L BLOK II,23,b. Penjualan jasa,Radio Group,
tgr_fd68e454.se2026_nested,beli_jasa_non_pddk_label,beli_jasa_non_pddk,202,SE2026 - L BLOK II,23,c. Pembelian jasa,Radio Group,
tgr_fd68e454.se2026_nested,beli_jasa_non_pddk_value,beli_jasa_non_pddk,202,SE2026 - L BLOK II,23,c. Pembelian jasa,Radio Group,
tgr_fd68e454.se2026_nested,tk_laki,tk_laki,203,SE2026 - L BLOK II,24,a1. Pekerja laki-laki,Number,
tgr_fd68e454.se2026_nested,tk_pr,tk_pr,204,SE2026 - L BLOK II,24,b1. Pekerja perempuan,Number,
tgr_fd68e454.se2026_nested,total_tk_jk,total_tk_jk,205,SE2026 - L BLOK II,24,c1. Total pekerja (a1+b1),Number,
tgr_fd68e454.se2026_nested,cek_tk_jk_pml_label,cek_tk_jk_pml,206,SE2026 - L BLOK II,,Cek Pekerja (c1) (Diisi oleh PML),Radio Group,
tgr_fd68e454.se2026_nested,cek_tk_jk_pml_value,cek_tk_jk_pml,206,SE2026 - L BLOK II,,Cek Pekerja (c1) (Diisi oleh PML),Radio Group,
tgr_fd68e454.se2026_nested,tk_dibayar,tk_dibayar,207,SE2026 - L BLOK II,24,a2. Pekerja dibayar,Number,
tgr_fd68e454.se2026_nested,tk_tdk_dibayar,tk_tdk_dibayar,208,SE2026 - L BLOK II,24,b2. Pekerja tidak dibayar,Number,
tgr_fd68e454.se2026_nested,total_tk_bayar,total_tk_bayar,209,SE2026 - L BLOK II,24,c2. Total pekerja (a2+b2),Number,
tgr_fd68e454.se2026_nested,cek_tk_bayar_pml_label,cek_tk_bayar_pml,210,SE2026 - L BLOK II,,Cek Pekerja (24. c2) (Diisi oleh PML),Radio Group,
tgr_fd68e454.se2026_nested,cek_tk_bayar_pml_value,cek_tk_bayar_pml,210,SE2026 - L BLOK II,,Cek Pekerja (24. c2) (Diisi oleh PML),Radio Group,
tgr_fd68e454.se2026_nested,tahun_operasi,tahun_operasi,211,SE2026 - L BLOK II,25,Tahun berapa usaha/perusahaan ini mulai beroperasi secara komersial ? Tahun beroperasi komersial terdiri dari 4 angka. Contoh: 1990; 2025;dsb.,Masking,
tgr_fd68e454.se2026_nested,gaji,gaji,212,SE2026 - L BLOK II,26,"a. Total upah dan gaji, serta jaminan sosial pegawai",Currency,
tgr_fd68e454.se2026_nested,biaya_produksi,biaya_produksi,213,SE2026 - L BLOK II,26,b. Biaya produksi,Currency,
tgr_fd68e454.se2026_nested,biaya_pembelian,biaya_pembelian,214,SE2026 - L BLOK II,26,c. Biaya pembelian barang yang terjual,Currency,
tgr_fd68e454.se2026_nested,operasional,operasional,215,SE2026 - L BLOK II,26,"d. Biaya operasional (air, listrik, gas, internet, pulsa, pemeliharaan, biaya angkutan, dll.)",Currency,
tgr_fd68e454.se2026_nested,non_operasional,non_operasional,216,SE2026 - L BLOK II,26,e. Biaya non-operasional,Currency,
tgr_fd68e454.se2026_nested,total_pengeluaran,total_pengeluaran,217,SE2026 - L BLOK II,26,f. Total pengeluaran (a+b+c+d+e),Currency,
tgr_fd68e454.se2026_nested,cek_output26f_pml_label,cek_output26f_pml,218,SE2026 - L BLOK II,,Cek Rincian Pengeluaran 2025 (Diisi oleh PML),Radio Group,
tgr_fd68e454.se2026_nested,cek_output26f_pml_value,cek_output26f_pml,218,SE2026 - L BLOK II,,Cek Rincian Pengeluaran 2025 (Diisi oleh PML),Radio Group,
tgr_fd68e454.se2026_nested,nilai_pendapatan,nilai_pendapatan,219,SE2026 - L BLOK II,27,a. Nilai $narasi barang dan jasa,Currency,
tgr_fd68e454.se2026_nested,pendapatan_lain,pendapatan_lain,220,SE2026 - L BLOK II,27,b. Pendapatan lainnya yang dihasilkan perusahaan,Currency,
tgr_fd68e454.se2026_nested,total_pendapatan,total_pendapatan,221,SE2026 - L BLOK II,27,c. Total nilai $narasi (a+b),Currency,
tgr_fd68e454.se2026_nested,cek_input27c_pml_label,cek_input27c_pml,222,SE2026 - L BLOK II,,Cek Rincian Pendapatan 2025 (Diisi oleh PML),Radio Group,
tgr_fd68e454.se2026_nested,cek_input27c_pml_value,cek_input27c_pml,222,SE2026 - L BLOK II,,Cek Rincian Pendapatan 2025 (Diisi oleh PML),Radio Group,
tgr_fd68e454.se2026_nested,pendapatan_online,pendapatan_online,223,SE2026 - L BLOK II,27,d. Berapa persentase pendapatan yang dilakukan secara online ?,Number,
tgr_fd68e454.se2026_nested,aset_usaha_thn,aset_usaha_thn,224,SE2026 - L BLOK II,28,a. Nilai aset tanah dan bangunan pada 31 Desember 2025,Currency,
tgr_fd68e454.se2026_nested,aset_lain_thn,aset_lain_thn,225,SE2026 - L BLOK II,28,b. Nilai aset selain tanah dan bangunan pada 31 Desember 2025,Currency,
tgr_fd68e454.se2026_nested,total_aset_thn,total_aset_thn,226,SE2026 - L BLOK II,28,c. Nilai total aset pada 31 Desember 2025,Currency,
tgr_fd68e454.se2026_nested,rentang_aset_thn_label,rentang_aset_thn,227,SE2026 - L BLOK II,28,"c1. Jika tidak dapat mengisikan nilai nominal, pilih nilai total aset dalam rentang berikut",Radio Group,
tgr_fd68e454.se2026_nested,rentang_aset_thn_value,rentang_aset_thn,227,SE2026 - L BLOK II,28,"c1. Jika tidak dapat mengisikan nilai nominal, pilih nilai total aset dalam rentang berikut",Radio Group,
tgr_fd68e454.se2026_nested,luas_tanah_thn,luas_tanah_thn,228,SE2026 - L BLOK II,28,d. Berapa luas tanah yang dikuasai dan digunakan untuk kegiatan usaha pada 31 Desember 2025 ? (m 2 ),Number,
tgr_fd68e454.se2026_nested,cek_asetThn_pml_label,cek_asetThn_pml,229,SE2026 - L BLOK II,,Cek Rincian Aset 31 Des 2025 (Diisi oleh PML),Radio Group,
tgr_fd68e454.se2026_nested,cek_asetThn_pml_value,cek_asetThn_pml,229,SE2026 - L BLOK II,,Cek Rincian Aset 31 Des 2025 (Diisi oleh PML),Radio Group,
